,Season,Game,Date,Team,Loc,Opp,Result,Pass_cmp,Pass_att,Pass_pct,Pass_yds,Pass_TD,Rush_att,Rush_yds,Rush_avg,Rush_TD,TO_plays,TO_yds,TO_avg,FD_pass,FD_rush,FD_pen,FD_tot,Pen_num,Pen_yds,Turn_fum,Turn_int,Turn_tot
0,2018,1,2018-09-01,Air Force,,Stony Brook,W (38-0),7,20,35.0,45,0,30,30,1.0,0,50,75,1.5,2,1,1,4,8,63,1,1,2
1,2018,2,2018-09-08,Air Force,@,Florida Atlantic,L (27-33),33,40,82.5,471,3,29,54,1.9,1,69,525,7.6,21,3,1,25,8,87,1,0,1
2,2018,3,2018-09-22,Air Force,@,Utah State,L (32-42),26,38,68.4,356,2,24,133,5.5,4,62,489,7.9,19,3,0,22,5,35,2,0,2
3,2018,4,2018-09-29,Air Force,,Nevada,L (25-28),24,33,72.7,259,4,34,177,5.2,0,67,436,6.5,12,7,0,19,13,103,1,1,2
4,2018,5,2018-10-06,Air Force,,Navy,W (35-7),3,12,25.0,49,0,41,129,3.1,1,53,178,3.4,2,7,0,9,4,40,0,0,0
5,2018,6,2018-10-12,Air Force,@,San Diego State,L (17-21),9,25,36.0,213,1,34,84,2.5,1,59,297,5.0,8,5,0,13,8,55,0,1,1
6,2018,7,2018-10-19,Air Force,@,Nevada-Las Vegas,W (41-35),26,38,68.4,261,3,33,139,4.2,2,71,400,5.6,12,6,5,23,6,40,0,1,1
7,2018,8,2018-10-27,Air Force,,Boise State,L (38-48),22,36,61.1,409,5,33,121,3.7,1,69,530,7.7,16,9,1,26,1,15,0,0,0
8,2018,9,2018-11-03,Air Force,@,Army,L (14-17),3,5,60.0,44,0,59,242,4.1,2,64,286,4.5,0,15,1,16,5,69,0,0,0
9,2018,10,2018-11-10,Air Force,,New Mexico,W (42-24),13,18,72.2,186,0,36,119,3.3,2,54,305,5.6,5,9,0,14,0,0,1,1,2
10,2018,11,2018-11-17,Air Force,@,Wyoming,L (27-35),15,29,51.7,262,2,29,111,3.8,3,58,373,6.4,9,7,2,18,5,35,1,0,1
11,2018,12,2018-11-22,Air Force,,Colorado State,W (27-19),19,32,59.4,373,3,24,64,2.7,0,56,437,7.8,15,4,1,20,8,75,0,2,2
12,2018,,12 Games,Air Force,,,,200,326,61.3,2928,23,406,1403,3.5,17,732,4331,5.9,121,76,12,209,71,617,7,7,14
13,2018,1,2018-09-08,Akron,,Morgan State,W (41-7),8,22,36.4,78,0,42,114,2.7,1,64,192,3.0,5,6,2,13,8,90,1,2,3
