Season,Gamecode,Game,Date,Team,Game_home,Opp,Result,Pass_cmp,Pass_att,Pass_pct,Pass_yds,Pass_TD,Rush_att,Rush_yds,Rush_avg,Rush_TD,TO_plays,TO_yds,TO_avg,FD_pass,FD_rush,FD_pen,FD_tot,Pen_num,Pen_yds,Turn_fum,Turn_int,Turn_tot
2018,201891AirSto,1,2018-09-01,Air Force,Home,Stony Brook,W (38-0),2,8,25.0,29,0,77,333,4.3,4,85,362,4.3,2,19,2,23,3,30,2,0,2
2018,201898AirFlo,2,2018-09-08,Air Force,Away,Florida Atlantic,L (27-33),8,13,61.5,164,1,56,209,3.7,2,69,373,5.4,5,11,3,19,5,50,0,1,1
2018,2018922AirUta,3,2018-09-22,Air Force,Away,Utah State,L (32-42),11,21,52.4,148,0,86,323,3.8,3,107,471,4.4,5,21,1,27,7,65,1,0,1
2018,2018929AirNev,4,2018-09-29,Air Force,Home,Nevada,L (25-28),8,19,42.1,96,1,51,154,3.0,1,70,250,3.6,5,10,1,16,5,40,2,0,2
2018,2018106AirNav,5,2018-10-06,Air Force,Home,Navy,W (35-7),6,10,60.0,142,1,55,257,4.7,4,65,399,6.1,6,10,1,17,3,32,0,0,0
2018,20181012AirSan,6,2018-10-12,Air Force,Away,San Diego State,L (17-21),8,17,47.1,62,0,51,214,4.2,2,68,276,4.1,4,9,1,14,5,56,0,1,1
2018,20181019AirNev,7,2018-10-19,Air Force,Away,Nevada-Las Vegas,W (41-35),9,11,81.8,217,1,52,355,6.8,4,63,572,9.1,7,17,2,26,9,76,2,0,2
2018,20181027AirBoi,8,2018-10-27,Air Force,Home,Boise State,L (38-48),11,16,68.8,242,3,51,201,3.9,2,67,443,6.6,9,13,1,23,4,25,0,0,0
2018,2018113AirArm,9,2018-11-03,Air Force,Away,Army,L (14-17),12,22,54.5,197,0,35,125,3.6,2,57,322,5.6,8,7,2,17,5,55,0,1,1
2018,20181110AirNew,10,2018-11-10,Air Force,Home,New Mexico,W (42-24),5,6,83.3,145,2,67,478,7.1,4,73,623,8.5,4,23,0,27,2,11,3,0,3
2018,20181117AirWyo,11,2018-11-17,Air Force,Away,Wyoming,L (27-35),5,9,55.6,53,0,65,362,5.6,3,74,415,5.6,3,22,0,25,5,66,0,2,2
