Year,Date,Game_conf,Game_home,Opp,Opp_CRTD,Opp_DefStren,Opp_OffStrat,Opp_SRTD,Opp_rank,Season,Team,Team_CRTD,Team_DefStren,Team_OffStrat,Team_SRTD,Team_rank,Won
2014,2014-08-27 19:00:00,0.0,1,Abilene Christian,0.0,0.0,0.0,0.0,0.0,2014,Georgia State,0.0,0.0,0.0,0.0,0.0,1
2014,2014-09-27 17:00:00,0.0,0,Florida Atlantic,0.0,1.2,0.748,0.25,0.0,2014,Texas-San Antonio,0.0,0.0,0.0,0.333,0.0,0
2014,2014-09-27 12:30:00,0.0,1,Colorado State,0.0,1.257,1.139,0.667,0.0,2014,Boston College,0.0,1.776,0.413,0.75,0.0,0
2014,2014-09-27 19:00:00,1.0,0,Clemson,0.0,1.356,0.806,0.333,0.0,2014,North Carolina,0.0,1.461,0.992,0.667,0.0,0
2014,2014-09-27 16:00:00,1.0,0,California,0.0,2.853,0.731,0.667,0.0,2014,Colorado,0.0,1.048,1.169,0.5,0.0,0
2014,2014-09-27 15:30:00,1.0,0,Buffalo,0.0,1.472,0.907,0.5,0.0,2014,Miami (OH),0.0,1.455,1.077,0.0,0.0,0
2014,2014-09-27 15:00:00,0.0,1,Bowling Green State,0.0,1.21,1.248,0.5,0.0,2014,Massachusetts,0.0,0.994,1.076,0.0,0.0,0
2014,2014-09-27 20:00:00,1.0,1,Baylor,0.0,2.435,0.794,1.0,0.72,2014,Iowa State,0.0,0.892,1.124,0.333,0.0,0
2014,2014-09-27 16:00:00,0.0,0,Auburn,1.0,2.612,0.531,1.0,0.8,2014,Louisiana Tech,1.0,1.534,1.094,0.5,0.0,0
2014,2014-09-27 13:30:00,0.0,1,Akron,0.0,1.169,1.831,0.333,0.0,2014,Pittsburgh,1.0,0.0,0.0,0.75,0.0,0
2014,2014-09-27 19:00:00,1.0,0,Air Force,0.0,3.598,0.279,0.667,0.0,2014,Boise State,1.0,0.0,0.839,0.75,0.0,0
2014,2014-09-26 20:00:00,1.0,1,Middle Tennessee State,1.0,1.182,0.658,0.5,0.0,2014,Old Dominion,1.0,0.848,1.295,0.75,0.0,0
2014,2014-09-26 20:00:00,1.0,1,Fresno State,0.0,1.482,1.116,0.25,0.0,2014,New Mexico,0.0,0.698,0.215,0.333,0.0,0
2014,2014-09-25 22:00:00,1.0,1,UCLA,0.0,1.871,0.882,1.0,0.56,2014,Arizona State,1.0,1.014,0.664,1.0,0.4,0
2014,2014-09-25 19:30:00,1.0,0,Oklahoma State,0.0,2.162,0.738,0.667,0.040000000000000036,2014,Texas Tech,0.0,0.454,1.5,0.667,0.0,0
2014,2014-09-25 19:30:00,1.0,0,Georgia Southern,1.0,0.94,0.365,0.5,0.0,2014,Appalachian State,0.0,1.163,0.88,0.333,0.0,0
2014,2014-09-20 16:00:00,0.0,0,Wyoming,1.0,1.601,0.805,0.667,0.0,2014,Florida Atlantic,0.0,1.26,0.75,0.333,0.0,0
2014,2014-09-20 12:00:00,0.0,0,Wisconsin,0.0,1.928,0.679,0.5,0.24,2014,Bowling Green State,0.0,2.626,1.277,0.667,0.0,0
2014,2014-09-20 19:00:00,0.0,0,Western Michigan,0.0,2.004,0.737,0.5,0.0,2014,Murray State,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-20 18:00:00,0.0,0,Washington,0.0,2.483,0.442,1.0,0.0,2014,Georgia State,0.0,1.437,1.32,0.333,0.0,0
2014,2014-09-20 15:30:00,0.0,0,Wake Forest,0.0,1.913,1.276,0.333,0.0,2014,Army,0.0,1.739,0.109,0.5,0.0,0
2014,2014-09-20 15:30:00,0.0,1,Utah,0.0,1.885,0.59,1.0,0.0,2014,Michigan,0.0,2.158,0.629,0.667,0.0,0
2014,2014-09-20 19:00:00,1.0,0,Toledo,0.0,3.036,1.052,0.333,0.0,2014,Ball State,0.0,3.223,0.857,0.333,0.0,0
2014,2014-09-20 15:30:00,0.0,1,Texas A&M,1.0,1.914,1.337,1.0,0.76,2014,Southern Methodist,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-27 15:30:00,0.0,1,Florida International,0.0,1.348,0.914,0.25,0.0,2014,Alabama-Birmingham,1.0,0.0,0.0,0.667,0.0,0
2014,2014-09-20 13:00:00,0.0,0,Temple,0.0,0.47,1.089,0.5,0.0,2014,Delaware State,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-27 15:30:00,1.0,1,Florida State,1.0,1.135,1.194,1.0,0.96,2014,North Carolina State,0.0,1.134,0.785,1.0,0.0,0
2014,2014-09-27 12:00:00,1.0,1,Iowa,0.0,2.654,0.958,0.75,0.0,2014,Purdue,0.0,1.55,1.07,0.5,0.0,0
2014,2014-09-27 16:15:00,1.0,1,Stanford,0.0,0.477,0.863,0.667,0.36,2014,Washington,0.0,2.563,0.485,1.0,0.0,0
2014,2014-09-27 22:30:00,0.0,0,Southern California,0.0,0.0,0.0,0.667,0.28,2014,Oregon State,0.0,1.246,1.037,1.0,0.0,0
2014,2014-09-27 17:00:00,1.0,1,South Alabama,0.0,0.763,0.958,0.333,0.0,2014,Idaho,0.0,1.29,1.516,0.0,0.0,0
2014,2014-09-27 20:00:00,1.0,0,San Diego State,0.0,2.062,0.989,0.333,0.0,2014,Nevada-Las Vegas,0.0,0.854,0.947,0.25,0.0,0
2014,2014-09-27 12:00:00,0.0,0,Rutgers,0.0,2.48,0.56,0.75,0.0,2014,Tulane,0.0,1.043,0.948,0.25,0.0,0
2014,2014-09-27 19:00:00,1.0,1,Rice,0.0,1.883,0.644,0.0,0.0,2014,Southern Mississippi,0.0,0.907,1.254,0.5,0.0,0
2014,2014-09-27 18:00:00,0.0,0,Ohio State,0.0,0.55,0.586,0.667,0.12,2014,Cincinnati,0.0,1.711,1.35,1.0,0.0,0
2014,2014-09-27 14:00:00,0.0,0,Ohio,1.0,2.115,0.748,0.5,0.0,2014,Eastern Illinois,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-27 20:00:00,0.0,0,Notre Dame,0.0,2.185,0.865,1.0,0.6799999999999999,2014,Syracuse,0.0,2.115,0.694,0.667,0.0,0
2014,2014-09-27 12:00:00,1.0,1,Northwestern,0.0,1.842,0.982,0.333,0.0,2014,Penn State,1.0,4.47,1.168,1.0,0.0,0
2014,2014-09-27 22:30:00,1.0,1,Nevada,0.0,2.106,0.669,0.667,0.0,2014,San Jose State,0.0,0.313,0.778,0.333,0.0,0
2014,2014-09-27 21:00:00,1.0,0,Nebraska,0.0,1.843,0.554,1.0,0.16000000000000006,2014,Illinois,0.0,1.491,1.427,0.75,0.0,0
2014,2014-09-27 19:00:00,1.0,1,Missouri,0.0,1.594,0.808,0.75,0.0,2014,South Carolina,0.667,1.849,1.044,0.75,0.48,0
2014,2014-09-27 19:30:00,0.0,0,Mississippi,0.0,0.0,0.0,1.0,0.6,2014,Memphis,0.0,1.905,0.717,0.667,0.0,0
2014,2014-09-27 15:30:00,1.0,1,Minnesota,0.0,1.918,0.348,0.75,0.0,2014,Michigan,0.0,2.252,0.737,0.5,0.0,0
2014,2014-09-27 12:00:00,0.0,0,Michigan State,0.0,3.047,0.616,0.667,0.64,2014,Wyoming,1.0,1.301,0.74,0.75,0.0,0
2014,2014-09-27 19:30:00,1.0,0,Miami (FL),0.0,1.09,1.076,0.5,0.0,2014,Duke,0.0,0.937,0.896,1.0,0.0,0
2014,2014-09-27 13:30:00,1.0,1,Maryland,0.0,1.311,0.852,0.75,0.0,2014,Indiana,0.0,2.291,0.59,0.667,0.0,0
2014,2014-09-27 15:30:00,1.0,0,Louisville,0.5,2.278,0.948,0.75,0.0,2014,Wake Forest,0.0,0.924,1.248,0.5,0.0,0
2014,2014-09-27 19:00:00,1.0,0,Louisiana-Monroe,1.0,1.719,1.172,0.667,0.0,2014,Troy,0.0,0.853,0.993,0.0,0.0,0
2014,2014-09-27 19:30:00,0.0,0,Louisiana State,1.0,0.0,0.0,0.75,0.31999999999999995,2014,New Mexico State,0.0,0.412,1.032,0.5,0.0,0
2014,2014-09-27 12:00:00,1.0,0,Kentucky,0.0,1.334,0.965,0.667,0.0,2014,Vanderbilt,0.0,1.713,0.863,0.25,0.0,0
2014,2014-09-27 12:00:00,0.0,0,Kansas State,1.0,2.219,0.811,0.667,0.0,2014,Texas-El Paso,0.0,0.0,0.0,0.667,0.0,0
2014,2014-09-27 12:00:00,1.0,0,Georgia,0.0,2.068,0.593,0.667,0.52,2014,Tennessee,0.0,1.659,1.043,0.667,0.0,0
