,School,HTTP,From,To,Yrs,Overall_G,Overall_W,Overall_L,Overall_T,Overall_Pct,Bowls_G,Bowls_W,Bowls_L,Bowls_T,Bowls_Pct,SRS,SOS,AP,CC,Notes
0,Air Force,/cfb/schools/air-force/,1957,2018,62,704,383,325,12,.540,26,12,13,1,.481,1.03,-0.55,6,3,
1,Akron,/cfb/schools/akron/,1975,2018,33,381,150,228,3,.398,3,1,2,0,.500,-11.38,-7.08,0,1,
2,Alabama,/cfb/schools/alabama/,1902,2018,115,1209,916,302,42,.744,68,40,25,3,.598,13.45,4.12,55,26,record adjusted to 887-311-41 by NCAA
3,Alameda Coast Guard,/cfb/schools/alameda-coast-guard/,1943,1944,2,15,8,4,3,.633,0,0,0,0,,-0.16,-5.13,0,0,
4,Alcorn State,/cfb/schools/alcorn-state/,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-17.10,-9.19,0,0,
5,Amarillo Field,/cfb/schools/amarillo-field/,1944,1944,1,8,5,3,0,.625,0,0,0,0,,5.10,-1.78,0,0,
6,Amherst,/cfb/schools/amherst/,1877,1906,25,239,108,110,21,.496,0,0,0,0,,-1.20,-0.20,0,0,
7,Appalachian State,/cfb/schools/appalachian-state/,1972,2018,15,171,94,72,5,.564,3,3,0,0,1.000,-3.17,-7.05,0,1,
8,Arizona,/cfb/schools/arizona/,1931,2018,85,919,486,421,23,.535,20,9,10,1,.500,1.73,0.59,8,6,
9,Arizona State,/cfb/schools/arizona-state/,1931,2018,85,922,567,350,18,.616,30,14,15,1,.500,3.56,-1.33,17,17,
10,Arkansas,/cfb/schools/arkansas/,1906,2018,113,1168,681,480,37,.584,42,15,24,3,.393,6.59,2.99,28,14,record adjusted to 682-479-37 by NCAA
11,Arkansas State,/cfb/schools/arkansas-state/,1974,2018,37,429,192,235,2,.450,8,3,5,0,.429,-9.24,-6.97,0,6,record adjusted to 182-235-2 by NCAA
12,Army,/cfb/schools/army/,1891,2018,125,1235,676,511,51,.567,7,5,2,0,.667,3.41,-0.16,14,0,
13,Auburn,/cfb/schools/auburn/,1902,2018,116,1188,740,430,43,.628,42,23,17,2,.585,8.78,4.39,39,8,record adjusted to 743-428-42 by NCAA
14,Ball State,/cfb/schools/ball-state/,1975,2018,44,504,246,257,4,.489,7,0,7,0,.000,-8.59,-7.66,0,5,
15,Bates,/cfb/schools/bates/,1901,1905,3,21,10,8,3,.548,0,0,0,0,,-1.85,-2.20,0,0,
16,Baylor,/cfb/schools/baylor/,1903,2018,113,1174,582,565,41,.507,23,12,11,0,.522,2.62,2.61,14,8,record adjusted to 582-565-40 by NCAA
17,Beloit,/cfb/schools/beloit/,1894,1905,9,85,39,36,10,.518,0,0,0,0,,-1.63,-1.71,0,0,
18,Birmingham-Southern,/cfb/schools/birmingham-southern/,1920,1924,4,36,16,17,3,.486,0,0,0,0,,-5.29,-4.68,0,0,
19,Boise State,/cfb/schools/boise-state/,1996,2018,23,291,228,65,0,.778,18,12,6,0,.647,5.97,-4.58,11,13,
20,Boston College,/cfb/schools/boston-college/,1901,2018,84,892,500,389,14,.561,26,14,12,0,.560,2.02,-0.04,14,1,
21,Boston University,/cfb/schools/boston-university/,1923,1964,20,170,73,90,7,.450,0,0,0,0,,-6.91,-4.99,1,0,
22,Bowdoin,/cfb/schools/bowdoin/,1896,1905,7,66,33,30,3,.523,0,0,0,0,,-3.11,-2.87,0,0,
23,Bowling Green State,/cfb/schools/bowling-green-state/,1962,2018,57,637,352,278,11,.558,12,5,7,0,.417,-4.82,-6.78,1,9,
24,Bradley,/cfb/schools/bradley/,1949,1951,3,29,14,15,0,.483,0,0,0,0,,-12.91,-12.75,0,0,
25,Brigham Young,/cfb/schools/brigham-young/,1922,2018,94,998,574,420,26,.575,35,14,20,1,.414,-1.03,-3.20,17,23,
26,Brown,/cfb/schools/brown/,1878,1981,93,857,431,392,35,.523,1,0,1,0,.000,-2.92,-3.57,0,1,
27,Bucknell,/cfb/schools/bucknell/,1888,1946,40,356,168,157,32,.515,1,1,0,0,1.000,-3.00,-2.93,0,0,
28,Buffalo,/cfb/schools/buffalo/,1962,2018,29,324,120,199,4,.378,2,0,2,0,.000,-11.42,-7.45,0,1,
29,Butler,/cfb/schools/butler/,1932,1933,2,15,4,10,1,.300,0,0,0,0,,-16.48,-10.26,0,0,
30,Cal State Fullerton,/cfb/schools/cal-state-fullerton/,1975,1992,18,204,76,127,2,.376,1,0,1,0,.000,-12.72,-7.22,0,2,record adjusted to 77-126-2 by NCAA
31,Cal State Los Angeles,/cfb/schools/cal-state-los-angeles/,1969,1971,3,29,3,26,0,.103,0,0,0,0,,-27.59,-9.75,0,0,
32,California,/cfb/schools/california/,1916,2018,103,1102,570,511,31,.527,22,11,10,1,.523,5.53,4.16,14,13,record adjusted to 567-510-31 by NCAA
33,California-Santa Barbara,/cfb/schools/california-santa-barbara/,1969,1971,3,32,11,21,0,.344,0,0,0,0,,-13.35,-7.22,0,0,
34,Camp Grant,/cfb/schools/camp-grant/,1943,1943,1,10,2,6,2,.300,0,0,0,0,,8.98,14.38,0,0,
35,Carlisle,/cfb/schools/carlisle/,1896,1917,21,252,165,77,10,.675,0,0,0,0,,8.12,0.81,0,0,
36,Carnegie Mellon,/cfb/schools/carnegie-mellon/,1910,1940,20,171,84,75,13,.526,1,0,1,0,.000,3.99,1.51,1,0,
37,Centenary (LA),/cfb/schools/centenary-la/,1930,1941,12,130,69,48,14,.580,1,0,0,1,.500,0.22,-1.79,0,0,
38,Central Michigan,/cfb/schools/central-michigan/,1975,2018,44,508,273,226,11,.546,11,3,8,0,.300,-6.90,-8.23,1,7,
39,Centre,/cfb/schools/centre/,1919,1935,8,71,51,20,3,.709,3,2,1,0,.667,9.14,-0.02,0,0,
40,Charlotte,/cfb/schools/charlotte/,2015,2018,4,47,11,36,0,.234,,,,0,,-15.12,-5.74,0,0,
41,Chattanooga,/cfb/schools/chattanooga/,1909,1981,22,218,105,100,13,.511,0,0,0,0,,-5.92,-6.18,0,3,
42,Chicago,/cfb/schools/chicago/,1892,1939,48,466,287,147,32,.650,0,0,0,0,,7.22,2.86,0,7,
43,Cincinnati,/cfb/schools/cincinnati/,1954,2018,65,725,350,364,12,.490,14,6,8,0,.429,-3.03,-2.47,4,8,
44,Citadel,/cfb/schools/citadel/,1909,1981,65,608,284,304,21,.484,1,1,0,0,1.000,-7.47,-6.72,0,1,
45,Clemson,/cfb/schools/clemson/,1902,2018,117,1208,720,452,44,.610,42,22,20,0,.537,5.34,1.65,31,19,
46,Coast Guard,/cfb/schools/coast-guard/,1944,1945,2,17,6,10,1,.382,0,0,0,0,,-4.68,-1.10,0,0,
47,Coastal Carolina,/cfb/schools/coastal-carolina/,2017,2018,2,23,8,15,0,.348,,,,,,-12.54,-5.42,0,0,
48,Coe,/cfb/schools/coe/,1905,1905,1,9,1,7,1,.167,0,0,0,0,,-18.57,-4.35,0,0,
