,Conf,School,From,To,Yrs,Games,Wins,Losses,Ties,Pct,C_games,C_wins,C_losses,C_ties,C_pct
0,acc,Florida State,1992,2018,27,337,263,83,1,.759,217,168,48,0,.778
1,acc,Virginia Tech,2004,2018,15,199,138,61,0,.693,121,84,36,0,.700
2,acc,Miami (FL),2004,2018,15,189,115,74,0,.608,120,67,53,0,.558
3,acc,Clemson,1953,2018,66,763,488,266,13,.645,455,304,145,6,.675
4,acc,Louisville,2014,2018,5,64,36,28,0,.563,40,21,19,0,.525
5,acc,Georgia Tech,1983,2018,36,430,245,189,4,.564,274,151,121,2,.555
6,acc,Pittsburgh,2013,2018,6,77,41,36,0,.532,49,27,22,0,.551
7,acc,North Carolina,1953,2018,66,739,395,353,8,.528,467,237,225,5,.513
8,acc,Boston College,2005,2018,14,179,98,81,0,.547,112,52,60,0,.464
9,acc,North Carolina State,1953,2018,66,739,391,351,15,.526,457,224,225,8,.499
10,acc,Syracuse,2013,2018,6,73,31,42,0,.425,48,17,31,0,.354
11,acc,Duke,1953,2018,66,731,297,422,16,.415,452,161,283,8,.365
12,acc,Virginia,1954,2018,65,724,322,408,6,.442,437,175,258,4,.405
13,acc,Wake Forest,1953,2018,66,732,272,453,10,.377,466,141,320,5,.308
14,acc,Maryland,1953,2013,61,672,346,332,8,.510,410,211,195,4,.520
15,acc,South Carolina,1953,1970,18,181,82,93,6,.470,114,56,54,4,.509
16,american,Houston,2013,2018,6,77,53,24,0,.688,48,32,16,0,.667
17,american,Central Florida,2013,2018,6,76,52,24,0,.684,49,36,13,0,.735
18,american,Memphis,2013,2018,6,77,48,29,0,.623,49,30,19,0,.612
19,american,Navy,2015,2018,4,52,30,22,0,.577,32,20,12,0,.625
20,american,Temple,2013,2018,6,77,43,34,0,.558,48,30,18,0,.625
21,american,Cincinnati,2013,2018,6,75,43,32,0,.573,48,26,22,0,.542
22,american,South Florida,2013,2018,6,74,42,32,0,.568,48,27,21,0,.563
23,american,Tulsa,2014,2018,5,62,23,39,0,.371,40,14,26,0,.350
24,american,East Carolina,2014,2018,5,61,22,39,0,.361,40,12,28,0,.300
25,american,Tulane,2014,2018,5,60,21,39,0,.350,40,12,28,0,.300
